,year,artist,track,time,genre,week,rank,date
6090,2000,Barenaked Ladies,Pinch Me,3:46,Rock,20,34,2001-01-20
6407,2000,Barenaked Ladies,Pinch Me,3:46,Rock,21,44,2001-01-27
189,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,1,72,2000-10-21
506,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,2,72,2000-10-28
823,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,3,63,2000-11-04
1140,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,4,56,2000-11-11
1457,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,5,62,2000-11-18
1774,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,6,63,2000-11-25
2091,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,7,54,2000-12-02
2408,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,8,60,2000-12-09
2725,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,9,69,2000-12-16
3042,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,10,75,2000-12-23
3359,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,11,84,2000-12-30
3676,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,12,92,2001-01-06
3993,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,13,85,2001-01-13
4310,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,14,84,2001-01-20
4627,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,15,95,2001-01-27
270,2000,Before Dark,Monica,4:04,Rock,1,95,2000-05-20
587,2000,Before Dark,Monica,4:04,Rock,2,87,2000-05-27
904,2000,Before Dark,Monica,4:04,Rock,3,80,2000-06-03
1221,2000,Before Dark,Monica,4:04,Rock,4,80,2000-06-10
1538,2000,Before Dark,Monica,4:04,Rock,5,77,2000-06-17
1855,2000,Before Dark,Monica,4:04,Rock,6,87,2000-06-24
2172,2000,Before Dark,Monica,4:04,Rock,7,91,2000-07-01
2489,2000,Before Dark,Monica,4:04,Rock,8,91,2000-07-08
2806,2000,Before Dark,Monica,4:04,Rock,9,100,2000-07-15
256,2000,Big Punisher,It's So Hard,3:25,Rap,1,96,2000-04-22
573,2000,Big Punisher,It's So Hard,3:25,Rap,2,87,2000-04-29
890,2000,Big Punisher,It's So Hard,3:25,Rap,3,75,2000-05-06
1207,2000,Big Punisher,It's So Hard,3:25,Rap,4,79,2000-05-13
1524,2000,Big Punisher,It's So Hard,3:25,Rap,5,81,2000-05-20
1841,2000,Big Punisher,It's So Hard,3:25,Rap,6,81,2000-05-27
2158,2000,Big Punisher,It's So Hard,3:25,Rap,7,76,2000-06-03
2475,2000,Big Punisher,It's So Hard,3:25,Rap,8,76,2000-06-10
2792,2000,Big Punisher,It's So Hard,3:25,Rap,9,78,2000-06-17
3109,2000,Big Punisher,It's So Hard,3:25,Rap,10,84,2000-06-24
3426,2000,Big Punisher,It's So Hard,3:25,Rap,11,90,2000-07-01
3743,2000,Big Punisher,It's So Hard,3:25,Rap,12,88,2000-07-08
4060,2000,Big Punisher,It's So Hard,3:25,Rap,13,94,2000-07-15
4377,2000,Big Punisher,It's So Hard,3:25,Rap,14,98,2000-07-22
4694,2000,Big Punisher,It's So Hard,3:25,Rap,15,100,2000-07-29
161,2000,Black Rob,Whoa!,4:04,Rap,1,78,2000-03-04
478,2000,Black Rob,Whoa!,4:04,Rap,2,59,2000-03-11
795,2000,Black Rob,Whoa!,4:04,Rap,3,53,2000-03-18
1112,2000,Black Rob,Whoa!,4:04,Rap,4,52,2000-03-25
1429,2000,Black Rob,Whoa!,4:04,Rap,5,47,2000-04-01
1746,2000,Black Rob,Whoa!,4:04,Rap,6,46,2000-04-08
2063,2000,Black Rob,Whoa!,4:04,Rap,7,43,2000-04-15
2380,2000,Black Rob,Whoa!,4:04,Rap,8,47,2000-04-22
2697,2000,Black Rob,Whoa!,4:04,Rap,9,47,2000-04-29
3014,2000,Black Rob,Whoa!,4:04,Rap,10,58,2000-05-06
3331,2000,Black Rob,Whoa!,4:04,Rap,11,54,2000-05-13
3648,2000,Black Rob,Whoa!,4:04,Rap,12,57,2000-05-20
3965,2000,Black Rob,Whoa!,4:04,Rap,13,70,2000-05-27
4282,2000,Black Rob,Whoa!,4:04,Rap,14,85,2000-06-03
4599,2000,Black Rob,Whoa!,4:04,Rap,15,84,2000-06-10
4916,2000,Black Rob,Whoa!,4:04,Rap,16,93,2000-06-17
5233,2000,Black Rob,Whoa!,4:04,Rap,17,97,2000-06-24
34,2000,Blaque,Bring It All To Me,3:46,Pop,1,73,1999-10-23
351,2000,Blaque,Bring It All To Me,3:46,Pop,2,63,1999-10-30
668,2000,Blaque,Bring It All To Me,3:46,Pop,3,50,1999-11-06
985,2000,Blaque,Bring It All To Me,3:46,Pop,4,42,1999-11-13
1302,2000,Blaque,Bring It All To Me,3:46,Pop,5,24,1999-11-20
1619,2000,Blaque,Bring It All To Me,3:46,Pop,6,19,1999-11-27
1936,2000,Blaque,Bring It All To Me,3:46,Pop,7,17,1999-12-04
2253,2000,Blaque,Bring It All To Me,3:46,Pop,8,14,1999-12-11
2570,2000,Blaque,Bring It All To Me,3:46,Pop,9,11,1999-12-18
2887,2000,Blaque,Bring It All To Me,3:46,Pop,10,9,1999-12-25
3204,2000,Blaque,Bring It All To Me,3:46,Pop,11,9,2000-01-01
3521,2000,Blaque,Bring It All To Me,3:46,Pop,12,9,2000-01-08
3838,2000,Blaque,Bring It All To Me,3:46,Pop,13,10,2000-01-15
4155,2000,Blaque,Bring It All To Me,3:46,Pop,14,5,2000-01-22
4472,2000,Blaque,Bring It All To Me,3:46,Pop,15,5,2000-01-29
4789,2000,Blaque,Bring It All To Me,3:46,Pop,16,6,2000-02-05
5106,2000,Blaque,Bring It All To Me,3:46,Pop,17,8,2000-02-12
5423,2000,Blaque,Bring It All To Me,3:46,Pop,18,9,2000-02-19
5740,2000,Blaque,Bring It All To Me,3:46,Pop,19,15,2000-02-26
6057,2000,Blaque,Bring It All To Me,3:46,Pop,20,15,2000-03-04
6374,2000,Blaque,Bring It All To Me,3:46,Pop,21,18,2000-03-11
6691,2000,Blaque,Bring It All To Me,3:46,Pop,22,17,2000-03-18
7008,2000,Blaque,Bring It All To Me,3:46,Pop,23,18,2000-03-25
7325,2000,Blaque,Bring It All To Me,3:46,Pop,24,19,2000-04-01
7642,2000,Blaque,Bring It All To Me,3:46,Pop,25,19,2000-04-08
7959,2000,Blaque,Bring It All To Me,3:46,Pop,26,22,2000-04-15
8276,2000,Blaque,Bring It All To Me,3:46,Pop,27,26,2000-04-22
8593,2000,Blaque,Bring It All To Me,3:46,Pop,28,32,2000-04-29
8910,2000,Blaque,Bring It All To Me,3:46,Pop,29,42,2000-05-06
42,2000,Blink-182,All The Small Things,2:52,Rock,1,89,1999-12-04
359,2000,Blink-182,All The Small Things,2:52,Rock,2,76,1999-12-11
676,2000,Blink-182,All The Small Things,2:52,Rock,3,69,1999-12-18
993,2000,Blink-182,All The Small Things,2:52,Rock,4,59,1999-12-25
1310,2000,Blink-182,All The Small Things,2:52,Rock,5,59,2000-01-01
1627,2000,Blink-182,All The Small Things,2:52,Rock,6,51,2000-01-08
1944,2000,Blink-182,All The Small Things,2:52,Rock,7,50,2000-01-15
2261,2000,Blink-182,All The Small Things,2:52,Rock,8,35,2000-01-22
2578,2000,Blink-182,All The Small Things,2:52,Rock,9,26,2000-01-29
2895,2000,Blink-182,All The Small Things,2:52,Rock,10,15,2000-02-05
3212,2000,Blink-182,All The Small Things,2:52,Rock,11,7,2000-02-12
3529,2000,Blink-182,All The Small Things,2:52,Rock,12,6,2000-02-19
3846,2000,Blink-182,All The Small Things,2:52,Rock,13,8,2000-02-26
4163,2000,Blink-182,All The Small Things,2:52,Rock,14,8,2000-03-04
4480,2000,Blink-182,All The Small Things,2:52,Rock,15,9,2000-03-11
4797,2000,Blink-182,All The Small Things,2:52,Rock,16,11,2000-03-18
5114,2000,Blink-182,All The Small Things,2:52,Rock,17,14,2000-03-25
5431,2000,Blink-182,All The Small Things,2:52,Rock,18,16,2000-04-01
5748,2000,Blink-182,All The Small Things,2:52,Rock,19,18,2000-04-08
6065,2000,Blink-182,All The Small Things,2:52,Rock,20,23,2000-04-15
6382,2000,Blink-182,All The Small Things,2:52,Rock,21,33,2000-04-22
6699,2000,Blink-182,All The Small Things,2:52,Rock,22,41,2000-04-29
7016,2000,Blink-182,All The Small Things,2:52,Rock,23,43,2000-05-06
185,2000,Bloodhound Gang,The Bad Touch,4:20,R&B,1,70,2000-03-18
502,2000,Bloodhound Gang,The Bad Touch,4:20,R&B,2,62,2000-03-25
819,2000,Bloodhound Gang,The Bad Touch,4:20,R&B,3,55,2000-04-01
1136,2000,Bloodhound Gang,The Bad Touch,4:20,R&B,4,55,2000-04-08
1453,2000,Bloodhound Gang,The Bad Touch,4:20,R&B,5,52,2000-04-15
1770,2000,Bloodhound Gang,The Bad Touch,4:20,R&B,6,57,2000-04-22
2087,2000,Bloodhound Gang,The Bad Touch,4:20,R&B,7,72,2000-04-29
2404,2000,Bloodhound Gang,The Bad Touch,4:20,R&B,8,80,2000-05-06
2721,2000,Bloodhound Gang,The Bad Touch,4:20,R&B,9,82,2000-05-13
3038,2000,Bloodhound Gang,The Bad Touch,4:20,R&B,10,92,2000-05-20
3355,2000,Bloodhound Gang,The Bad Touch,4:20,R&B,11,96,2000-05-27
3672,2000,Bloodhound Gang,The Bad Touch,4:20,R&B,12,98,2000-06-03
130,2000,Bon Jovi,It's My Life,3:44,Rock,1,64,2000-08-12
447,2000,Bon Jovi,It's My Life,3:44,Rock,2,58,2000-08-19
764,2000,Bon Jovi,It's My Life,3:44,Rock,3,51,2000-08-26
1081,2000,Bon Jovi,It's My Life,3:44,Rock,4,51,2000-09-02
1398,2000,Bon Jovi,It's My Life,3:44,Rock,5,48,2000-09-09
1715,2000,Bon Jovi,It's My Life,3:44,Rock,6,45,2000-09-16
2032,2000,Bon Jovi,It's My Life,3:44,Rock,7,36,2000-09-23
2349,2000,Bon Jovi,It's My Life,3:44,Rock,8,33,2000-09-30
2666,2000,Bon Jovi,It's My Life,3:44,Rock,9,34,2000-10-07
2983,2000,Bon Jovi,It's My Life,3:44,Rock,10,34,2000-10-14
3300,2000,Bon Jovi,It's My Life,3:44,Rock,11,35,2000-10-21
3617,2000,Bon Jovi,It's My Life,3:44,Rock,12,34,2000-10-28
3934,2000,Bon Jovi,It's My Life,3:44,Rock,13,39,2000-11-04
4251,2000,Bon Jovi,It's My Life,3:44,Rock,14,44,2000-11-11
4568,2000,Bon Jovi,It's My Life,3:44,Rock,15,51,2000-11-18
4885,2000,Bon Jovi,It's My Life,3:44,Rock,16,58,2000-11-25
5202,2000,Bon Jovi,It's My Life,3:44,Rock,17,61,2000-12-02
5519,2000,Bon Jovi,It's My Life,3:44,Rock,18,84,2000-12-09
5836,2000,Bon Jovi,It's My Life,3:44,Rock,19,85,2000-12-16
6153,2000,Bon Jovi,It's My Life,3:44,Rock,20,87,2000-12-23
194,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,1,95,2000-06-10
511,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,2,85,2000-06-17
828,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,3,85,2000-06-24
1145,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,4,85,2000-07-01
1462,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,5,83,2000-07-08
1779,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,6,83,2000-07-15
2096,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,7,82,2000-07-22
2413,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,8,74,2000-07-29
2730,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,9,74,2000-08-05
3047,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,10,68,2000-08-12
3364,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,11,62,2000-08-19
3681,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,12,56,2000-08-26
3998,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,13,56,2000-09-02
4315,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,14,55,2000-09-09
4632,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,15,62,2000-09-16
4949,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,16,71,2000-09-23
5266,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,17,86,2000-09-30
5583,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,18,100,2000-10-07
5900,2000,Brooks & Dunn,You'll Always Be ...,2:58,Country,19,98,2000-10-14
280,2000,Cam'ron,What Means The Wo...,4:38,Rap,1,94,2000-10-14
597,2000,Cam'ron,What Means The Wo...,4:38,Rap,2,94,2000-10-21
914,2000,Cam'ron,What Means The Wo...,4:38,Rap,3,96,2000-10-28
1231,2000,Cam'ron,What Means The Wo...,4:38,Rap,4,91,2000-11-04
1548,2000,Cam'ron,What Means The Wo...,4:38,Rap,5,84,2000-11-11
1865,2000,Cam'ron,What Means The Wo...,4:38,Rap,6,83,2000-11-18
2182,2000,Cam'ron,What Means The Wo...,4:38,Rap,7,88,2000-11-25
2499,2000,Cam'ron,What Means The Wo...,4:38,Rap,8,87,2000-12-02
2816,2000,Cam'ron,What Means The Wo...,4:38,Rap,9,95,2000-12-09
3133,2000,Cam'ron,What Means The Wo...,4:38,Rap,10,92,2000-12-16
222,2000,Changing Faces,That Other Woman,4:00,Rock,1,80,2000-09-30
539,2000,Changing Faces,That Other Woman,4:00,Rock,2,72,2000-10-07
856,2000,Changing Faces,That Other Woman,4:00,Rock,3,66,2000-10-14
1173,2000,Changing Faces,That Other Woman,4:00,Rock,4,66,2000-10-21
1490,2000,Changing Faces,That Other Woman,4:00,Rock,5,64,2000-10-28
1807,2000,Changing Faces,That Other Woman,4:00,Rock,6,76,2000-11-04
2124,2000,Changing Faces,That Other Woman,4:00,Rock,7,65,2000-11-11
2441,2000,Changing Faces,That Other Woman,4:00,Rock,8,66,2000-11-18
2758,2000,Changing Faces,That Other Woman,4:00,Rock,9,75,2000-11-25
3075,2000,Changing Faces,That Other Woman,4:00,Rock,10,85,2000-12-02
3392,2000,Changing Faces,That Other Woman,4:00,Rock,11,97,2000-12-09
275,2000,Clark Family Experience,Meanwhile Back At...,2:56,Country,1,87,2000-11-18
592,2000,Clark Family Experience,Meanwhile Back At...,2:56,Country,2,86,2000-11-25
909,2000,Clark Family Experience,Meanwhile Back At...,2:56,Country,3,81,2000-12-02
1226,2000,Clark Family Experience,Meanwhile Back At...,2:56,Country,4,92,2000-12-09
1543,2000,Clark Family Experience,Meanwhile Back At...,2:56,Country,5,80,2000-12-16
1860,2000,Clark Family Experience,Meanwhile Back At...,2:56,Country,6,80,2000-12-23
2177,2000,Clark Family Experience,Meanwhile Back At...,2:56,Country,7,82,2000-12-30
2494,2000,Clark Family Experience,Meanwhile Back At...,2:56,Country,8,84,2001-01-06
2811,2000,Clark Family Experience,Meanwhile Back At...,2:56,Country,9,82,2001-01-13
3128,2000,Clark Family Experience,Meanwhile Back At...,2:56,Country,10,81,2001-01-20
3445,2000,Clark Family Experience,Meanwhile Back At...,2:56,Country,11,85,2001-01-27
3762,2000,Clark Family Experience,Meanwhile Back At...,2:56,Country,12,91,2001-02-03
164,2000,Common,The Light,3:55,Rap,1,75,2000-08-05
481,2000,Common,The Light,3:55,Rap,2,55,2000-08-12
798,2000,Common,The Light,3:55,Rap,3,53,2000-08-19
1115,2000,Common,The Light,3:55,Rap,4,49,2000-08-26
1432,2000,Common,The Light,3:55,Rap,5,46,2000-09-02
1749,2000,Common,The Light,3:55,Rap,6,44,2000-09-09
2066,2000,Common,The Light,3:55,Rap,7,49,2000-09-16
2383,2000,Common,The Light,3:55,Rap,8,51,2000-09-23
2700,2000,Common,The Light,3:55,Rap,9,51,2000-09-30
3017,2000,Common,The Light,3:55,Rap,10,56,2000-10-07
3334,2000,Common,The Light,3:55,Rap,11,52,2000-10-14
3651,2000,Common,The Light,3:55,Rap,12,56,2000-10-21
3968,2000,Common,The Light,3:55,Rap,13,70,2000-10-28
4285,2000,Common,The Light,3:55,Rap,14,82,2000-11-04
4602,2000,Common,The Light,3:55,Rap,15,86,2000-11-11
4919,2000,Common,The Light,3:55,Rap,16,89,2000-11-18
5236,2000,Common,The Light,3:55,Rap,17,93,2000-11-25
5553,2000,Common,The Light,3:55,Rap,18,93,2000-12-02
5870,2000,Common,The Light,3:55,Rap,19,99,2000-12-09
112,2000,Counting Crows,Hanginaround,4:07,Rock,1,84,1999-11-06
429,2000,Counting Crows,Hanginaround,4:07,Rock,2,70,1999-11-13
746,2000,Counting Crows,Hanginaround,4:07,Rock,3,66,1999-11-20
1063,2000,Counting Crows,Hanginaround,4:07,Rock,4,60,1999-11-27
1380,2000,Counting Crows,Hanginaround,4:07,Rock,5,46,1999-12-04
1697,2000,Counting Crows,Hanginaround,4:07,Rock,6,37,1999-12-11
2014,2000,Counting Crows,Hanginaround,4:07,Rock,7,35,1999-12-18
2331,2000,Counting Crows,Hanginaround,4:07,Rock,8,35,1999-12-25
2648,2000,Counting Crows,Hanginaround,4:07,Rock,9,35,2000-01-01
2965,2000,Counting Crows,Hanginaround,4:07,Rock,10,32,2000-01-08
3282,2000,Counting Crows,Hanginaround,4:07,Rock,11,29,2000-01-15
3599,2000,Counting Crows,Hanginaround,4:07,Rock,12,29,2000-01-22
3916,2000,Counting Crows,Hanginaround,4:07,Rock,13,28,2000-01-29
4233,2000,Counting Crows,Hanginaround,4:07,Rock,14,32,2000-02-05
4550,2000,Counting Crows,Hanginaround,4:07,Rock,15,38,2000-02-12
4867,2000,Counting Crows,Hanginaround,4:07,Rock,16,48,2000-02-19
5184,2000,Counting Crows,Hanginaround,4:07,Rock,17,56,2000-02-26
5501,2000,Counting Crows,Hanginaround,4:07,Rock,18,59,2000-03-04
5818,2000,Counting Crows,Hanginaround,4:07,Rock,19,61,2000-03-11
6135,2000,Counting Crows,Hanginaround,4:07,Rock,20,66,2000-03-18
46,2000,Creed,Higher,5:16,Rock,1,81,1999-09-11
363,2000,Creed,Higher,5:16,Rock,2,77,1999-09-18
680,2000,Creed,Higher,5:16,Rock,3,73,1999-09-25
997,2000,Creed,Higher,5:16,Rock,4,63,1999-10-02
1314,2000,Creed,Higher,5:16,Rock,5,61,1999-10-09
1631,2000,Creed,Higher,5:16,Rock,6,58,1999-10-16
1948,2000,Creed,Higher,5:16,Rock,7,56,1999-10-23
2265,2000,Creed,Higher,5:16,Rock,8,52,1999-10-30
2582,2000,Creed,Higher,5:16,Rock,9,56,1999-11-06
2899,2000,Creed,Higher,5:16,Rock,10,57,1999-11-13
3216,2000,Creed,Higher,5:16,Rock,11,57,1999-11-20
3533,2000,Creed,Higher,5:16,Rock,12,57,1999-11-27
3850,2000,Creed,Higher,5:16,Rock,13,57,1999-12-04
4167,2000,Creed,Higher,5:16,Rock,14,57,1999-12-11
4484,2000,Creed,Higher,5:16,Rock,15,60,1999-12-18
4801,2000,Creed,Higher,5:16,Rock,16,61,1999-12-25
5118,2000,Creed,Higher,5:16,Rock,17,61,2000-01-01
5435,2000,Creed,Higher,5:16,Rock,18,57,2000-01-08
5752,2000,Creed,Higher,5:16,Rock,19,60,2000-01-15
6069,2000,Creed,Higher,5:16,Rock,20,61,2000-01-22
8922,2000,Creed,Higher,5:16,Rock,29,43,2000-03-25
9239,2000,Creed,Higher,5:16,Rock,30,41,2000-04-01
9556,2000,Creed,Higher,5:16,Rock,31,34,2000-04-08
9873,2000,Creed,Higher,5:16,Rock,32,28,2000-04-15
10190,2000,Creed,Higher,5:16,Rock,33,25,2000-04-22
10507,2000,Creed,Higher,5:16,Rock,34,23,2000-04-29
10824,2000,Creed,Higher,5:16,Rock,35,22,2000-05-06
11141,2000,Creed,Higher,5:16,Rock,36,16,2000-05-13
11458,2000,Creed,Higher,5:16,Rock,37,16,2000-05-20
11775,2000,Creed,Higher,5:16,Rock,38,18,2000-05-27
12092,2000,Creed,Higher,5:16,Rock,39,14,2000-06-03
12409,2000,Creed,Higher,5:16,Rock,40,13,2000-06-10
12726,2000,Creed,Higher,5:16,Rock,41,13,2000-06-17
13043,2000,Creed,Higher,5:16,Rock,42,11,2000-06-24
13360,2000,Creed,Higher,5:16,Rock,43,11,2000-07-01
13677,2000,Creed,Higher,5:16,Rock,44,9,2000-07-08
13994,2000,Creed,Higher,5:16,Rock,45,9,2000-07-15
14311,2000,Creed,Higher,5:16,Rock,46,7,2000-07-22
14628,2000,Creed,Higher,5:16,Rock,47,7,2000-07-29
14945,2000,Creed,Higher,5:16,Rock,48,9,2000-08-05
15262,2000,Creed,Higher,5:16,Rock,49,9,2000-08-12
15579,2000,Creed,Higher,5:16,Rock,50,12,2000-08-19
15896,2000,Creed,Higher,5:16,Rock,51,14,2000-08-26
16213,2000,Creed,Higher,5:16,Rock,52,16,2000-09-02
16530,2000,Creed,Higher,5:16,Rock,53,17,2000-09-09
16847,2000,Creed,Higher,5:16,Rock,54,17,2000-09-16
17164,2000,Creed,Higher,5:16,Rock,55,21,2000-09-23
17481,2000,Creed,Higher,5:16,Rock,56,26,2000-09-30
17798,2000,Creed,Higher,5:16,Rock,57,29,2000-10-07
18115,2000,Creed,Higher,5:16,Rock,58,32,2000-10-14
18432,2000,Creed,Higher,5:16,Rock,59,39,2000-10-21
18749,2000,Creed,Higher,5:16,Rock,60,39,2000-10-28
19066,2000,Creed,Higher,5:16,Rock,61,43,2000-11-04
19383,2000,Creed,Higher,5:16,Rock,62,47,2000-11-11
19700,2000,Creed,Higher,5:16,Rock,63,50,2000-11-18
20017,2000,Creed,Higher,5:16,Rock,64,50,2000-11-25
20334,2000,Creed,Higher,5:16,Rock,65,49,2000-12-02
13,2000,Creed,With Arms Wide Open,3:52,Rock,1,84,2000-05-13
330,2000,Creed,With Arms Wide Open,3:52,Rock,2,78,2000-05-20
647,2000,Creed,With Arms Wide Open,3:52,Rock,3,76,2000-05-27
964,2000,Creed,With Arms Wide Open,3:52,Rock,4,74,2000-06-03
1281,2000,Creed,With Arms Wide Open,3:52,Rock,5,70,2000-06-10
1598,2000,Creed,With Arms Wide Open,3:52,Rock,6,68,2000-06-17
1915,2000,Creed,With Arms Wide Open,3:52,Rock,7,74,2000-06-24
2232,2000,Creed,With Arms Wide Open,3:52,Rock,8,75,2000-07-01
2549,2000,Creed,With Arms Wide Open,3:52,Rock,9,69,2000-07-08
2866,2000,Creed,With Arms Wide Open,3:52,Rock,10,74,2000-07-15
3183,2000,Creed,With Arms Wide Open,3:52,Rock,11,70,2000-07-22
3500,2000,Creed,With Arms Wide Open,3:52,Rock,12,79,2000-07-29
3817,2000,Creed,With Arms Wide Open,3:52,Rock,13,84,2000-08-05
4134,2000,Creed,With Arms Wide Open,3:52,Rock,14,86,2000-08-12
4451,2000,Creed,With Arms Wide Open,3:52,Rock,15,76,2000-08-19
4768,2000,Creed,With Arms Wide Open,3:52,Rock,16,62,2000-08-26
5085,2000,Creed,With Arms Wide Open,3:52,Rock,17,45,2000-09-02
5402,2000,Creed,With Arms Wide Open,3:52,Rock,18,29,2000-09-09
5719,2000,Creed,With Arms Wide Open,3:52,Rock,19,19,2000-09-16
6036,2000,Creed,With Arms Wide Open,3:52,Rock,20,11,2000-09-23
6353,2000,Creed,With Arms Wide Open,3:52,Rock,21,10,2000-09-30
6670,2000,Creed,With Arms Wide Open,3:52,Rock,22,7,2000-10-07
6987,2000,Creed,With Arms Wide Open,3:52,Rock,23,5,2000-10-14
7304,2000,Creed,With Arms Wide Open,3:52,Rock,24,3,2000-10-21
7621,2000,Creed,With Arms Wide Open,3:52,Rock,25,3,2000-10-28
7938,2000,Creed,With Arms Wide Open,3:52,Rock,26,3,2000-11-04
8255,2000,Creed,With Arms Wide Open,3:52,Rock,27,1,2000-11-11
8572,2000,Creed,With Arms Wide Open,3:52,Rock,28,2,2000-11-18
8889,2000,Creed,With Arms Wide Open,3:52,Rock,29,2,2000-11-25
9206,2000,Creed,With Arms Wide Open,3:52,Rock,30,3,2000-12-02
9523,2000,Creed,With Arms Wide Open,3:52,Rock,31,3,2000-12-09
9840,2000,Creed,With Arms Wide Open,3:52,Rock,32,3,2000-12-16
10157,2000,Creed,With Arms Wide Open,3:52,Rock,33,4,2000-12-23
10474,2000,Creed,With Arms Wide Open,3:52,Rock,34,5,2000-12-30
10791,2000,Creed,With Arms Wide Open,3:52,Rock,35,5,2001-01-06
11108,2000,Creed,With Arms Wide Open,3:52,Rock,36,5,2001-01-13
11425,2000,Creed,With Arms Wide Open,3:52,Rock,37,5,2001-01-20
11742,2000,Creed,With Arms Wide Open,3:52,Rock,38,9,2001-01-27
12059,2000,Creed,With Arms Wide Open,3:52,Rock,39,12,2001-02-03
12376,2000,Creed,With Arms Wide Open,3:52,Rock,40,13,2001-02-10
12693,2000,Creed,With Arms Wide Open,3:52,Rock,41,13,2001-02-17
13010,2000,Creed,With Arms Wide Open,3:52,Rock,42,17,2001-02-24
13327,2000,Creed,With Arms Wide Open,3:52,Rock,43,22,2001-03-03
13644,2000,Creed,With Arms Wide Open,3:52,Rock,44,26,2001-03-10
13961,2000,Creed,With Arms Wide Open,3:52,Rock,45,28,2001-03-17
14278,2000,Creed,With Arms Wide Open,3:52,Rock,46,37,2001-03-24
14595,2000,Creed,With Arms Wide Open,3:52,Rock,47,41,2001-03-31
240,2000,D'Angelo,Left & Right,4:35,R&B,1,93,1999-12-11
557,2000,D'Angelo,Left & Right,4:35,R&B,2,77,1999-12-18
874,2000,D'Angelo,Left & Right,4:35,R&B,3,75,1999-12-25
1191,2000,D'Angelo,Left & Right,4:35,R&B,4,70,2000-01-01
1508,2000,D'Angelo,Left & Right,4:35,R&B,5,91,2000-01-08
100,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,1,77,2000-01-22
417,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,2,56,2000-01-29
734,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,3,35,2000-02-05
1051,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,4,26,2000-02-12
1368,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,5,25,2000-02-19
1685,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,6,25,2000-02-26
2002,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,7,28,2000-03-04
2319,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,8,28,2000-03-11
2636,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,9,31,2000-03-18
2953,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,10,35,2000-03-25
3270,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,11,39,2000-04-01
3587,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,12,44,2000-04-08
3904,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,13,51,2000-04-15
4221,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,14,60,2000-04-22
4538,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,15,73,2000-04-29
4855,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,16,79,2000-05-06
5172,2000,D'Angelo,Untitled (How Doe...,7:10,R&B,17,94,2000-05-13
105,2000,DMX,Party Up (Up In H...,3:45,Rap,1,88,2000-02-26
422,2000,DMX,Party Up (Up In H...,3:45,Rap,2,74,2000-03-04
739,2000,DMX,Party Up (Up In H...,3:45,Rap,3,62,2000-03-11
1056,2000,DMX,Party Up (Up In H...,3:45,Rap,4,56,2000-03-18
1373,2000,DMX,Party Up (Up In H...,3:45,Rap,5,49,2000-03-25
1690,2000,DMX,Party Up (Up In H...,3:45,Rap,6,44,2000-04-01
